7950508	0	6.417405
6543149	16	5.897690
8594035	13	6.911991
7964273	1	6.636515
8639002	9	4.518867
1333306	11	5.493764
8597329	4	6.207575
4045268	9	5.734844
9197978	13	6.514233
5569767	15	5.889332
8707995	8	4.750724
8190938	14	4.353882
627678	4	6.913104
8183151	16	5.026826
9409775	9	7.001394
1254488	11	6.118521
8273608	2	4.827158
9753075	16	5.566939
649011	1	6.594666
9267173	14	6.468156
4554256	8	7.045273
3709783	16	3.442218
2374586	8	5.634774
4989109	16	4.827942
961039	14	4.681911
3839472	6	4.516809
6065780	2	3.782723
7566634	9	7.112669
9416689	8	6.079025
754034	7	5.133896
3893368	15	4.213231
5440037	13	5.105178
7917920	10	3.902400
7810812	8	6.777823
1358384	14	5.220271
577765	12	6.954655
6857103	4	4.591339
5260914	1	6.333826
86539	7	3.318357
9992308	7	4.952759
8604330	13	6.067634
9645542	8	4.936929
1547218	9	3.366582
6867187	10	6.437656
1980674	6	6.968261
7006157	14	3.199745
3634881	4	6.977713
4628514	7	4.583505
7959730	0	4.253846
136600	12	4.863446
6429434	12	5.593766
2013704	0	6.223277
2881190	4	5.571444
7914748	3	4.782161
8478374	11	5.788450
3141565	10	5.427760
2282131	14	4.661451
1658318	1	7.092678
5961891	5	5.865519
7291720	14	5.391465
2305380	4	5.332400
2044825	3	4.030194
6054750	7	4.989931
3668860	1	6.509300
1864091	10	4.959333
359767	3	3.431611
1346656	0	7.022324
7542364	15	4.089099
2499824	3	4.658706
6714399	14	3.991659
826755	5	3.225817
9312593	10	7.011105
5817893	12	6.650847
8177645	11	6.177038
3009214	3	6.813776
3369991	8	3.881582
9721867	9	6.225428
7664933	2	5.634955
5421021	11	4.519940
7171035	4	3.338866
7472225	8	4.773635
9025196	13	5.758399
796999	8	6.442716
5690031	16	6.145421
5439619	8	5.456643
9961128	13	4.225796
8102516	0	3.201854
4006534	10	3.762151
180460	4	4.546347
2967642	1	6.745799
9767164	3	4.649083
6693783	5	3.454554
205800	9	3.148056
482576	11	4.481973
7424909	3	3.422129
5361086	5	3.664234
5990659	16	4.550786
4193934	7	3.721715
3657814	7	3.286041
3925842	5	5.075813
